word,freq,rank,Syllable,Contraction,Comments
blondish,1,6328,2,,
bloodiness,1,6329,3,,
bloogs,1,6330,1,,
bloomp,1,6332,1,,
blubbers,1,6338,2,,
blubbery,1,6339,3,,
bluub,1,6344,1,,
bluuuue,1,6345,1,,
bluuuuuuub,1,6346,1,,
boars,1,6350,1,,
bobbed,1,6352,1,,
bofa,1,6355,2,,
boldero,1,6357,3,,
boogied,1,6365,2,,
boohoo,1,6366,2,,
boomberry,1,6369,3,,
bopperville,1,6373,3,,
bottlenose,1,6380,3,,
boysenberry,1,6390,4,,
br,1,6391,1,,
brassberry,1,6395,3,,
brayed,1,6398,1,,
breeches,1,6403,2,,sublist
brillo,1,6415,2,,sublist
brontosauri,1,6420,4,,
bs,1,6426,"1, 2",,sublist
budded,1,6432,2,,
bullfinch,1,6444,2,,
bullring,1,6445,2,,
bumpity,1,6449,3,,
burped,1,6455,1,,
butpresto,1,6465,3,,
buttercream,1,6466,3,,
butterfy,1,6468,3,,sublist
café,1,6475,2,,
cakefree,1,6478,2,,
callin,1,6479,2,,
calmity,1,6481,3,,
canoeberry,1,6491,4,,
caried,1,6502,2,,
carryings,1,6510,3,,
cest,1,6533,1,,
challah,1,6535,2,,sublist
chamomile,1,6537,3,,
chanced,1,6541,1,,
changin,1,6543,2,,
chattered,1,6554,2,,
cheekily,1,6563,3,,sublist
cheeries,1,6565,2,,
cheerily,1,6566,3,,
chickie,1,6576,2,,
chinaware,1,6582,3,,
chinny,1,6584,2,,
chiroptera,1,6586,4,,
chooooooo,1,6591,1,,
chuggsa,1,6596,2,,
chugs,1,6597,1,,
clackberry,1,6607,3,,
clanged,1,6612,1,,
clarabel,1,6617,3,,
clarinets,1,6618,3,,
clattered,1,6621,2,,
clatterin,1,6622,3,,
clatters,1,6623,2,,
clomped,1,6634,1,,
cloudberry,1,6643,3,,
clovers,1,6644,2,,
clutters,1,6650,2,,
comfits,1,6676,2,,sublist
concertinas,1,6695,4,,
cood,1,6716,1,,
cooties,1,6724,2,,
corduroys,1,6730,3,,
crackabone,1,6754,3,,
crackd,1,6755,1,,
crayonscheck,1,6764,2,,
creeak,1,6776,1,,
creeeak,1,6777,1,,
creeeeak,1,6778,1,,
crinkly,1,6784,2,,
croaked,1,6787,1,,
crookedly,1,6789,3,,
crooned,1,6790,1,,
crrrunch,1,6793,1,,
cruffulous,1,6796,3,,
crullers,1,6797,2,,sublist
cryin,1,6804,2,,
cubby,1,6805,2,,
cuckood,1,6807,2,,
cupped,1,6815,1,,
curdled,1,6817,2,,
curds,1,6818,1,,
cutery,1,6825,3,,sublist
cutlet,1,6826,2,,
dabbed,1,6830,1,,
daffing,1,6832,2,,
daintiest,1,6836,3,,
daintily,1,6837,3,,
dancin,1,6843,2,,
dander,1,6844,2,,
darked,1,6849,1,,
dd,1,6863,"1, 2",,sublist
deafblindness,1,6865,3,,
dearie,1,6868,2,,
delish,1,6881,2,,sublist
dellar,1,6885,2,,sublist
desser,1,6911,2,,
deviled,1,6918,2,,
dewdrops,1,6922,2,,
dexterous,1,6923,"2, 3",,sublist
dickery,1,6928,3,,
diggin,1,6933,2,,
dinkety,1,6941,3,,
disap,1,6948,2,,sublist
discov,1,6950,2,,
dishy,1,6956,2,,
displeasing,1,6960,3,,
doffed,1,6975,1,,
dollys,1,6982,2,,
domo,1,6986,2,,
donts,1,6988,1,,
dooooo,1,6989,1,,
doorstop,1,6992,2,,
dorling,1,6994,2,,
