word,freq,freq_scaled
grin,8805,0.5218483147997648
stead,678,0.3745434248097526
sour,2342,0.4457627076263966
spa,1036,0.398901993812408
sub,16328,0.5573289778029595
lark,661,0.37308449949409545
break,260269,0.716406328017935
man,188878,0.6979861247383432
sluice,25,0.1849335077478121
red,103821,0.6636044562451175
ghoul,6741,0.5065020069707955
gram,1640,0.4252917478524035
street,76141,0.6457894052735915
dork,2,0.03982326329463344
jowl,14,0.15162129751721853
roost,260,0.3194768656646248
tweed,336,0.3342094663794581
type,157466,0.6875359304107896
notch,2066,0.43855864657616445
hack,9827,0.5281574368201591
proud,16650,0.55845096199968
stage,30647,0.5935043413566644
sold,189942,0.6983088635904798
grail,1599,0.4238371682743883
deer,4913,0.4883283268024282
judge,28179,0.5886807309874931
care,104471,0.6639630341754017
soul,32354,0.5966184500561821
pray,9584,0.5267188951967778
glum,71,0.24490299873544855
ream,338,0.3345504336975372
pouch,55,0.2302326100726791
plea,1988,0.43634755954730053
safe,33171,0.5980512280876873
clench,271,0.32185754926030447
men,98323,0.6604784316915723
wisp,1086,0.40160997970346085
leapt,717,0.37775667812838665
tome,5935,0.4991858922682375
gas,25775,0.5835575483114188
spy,5253,0.49217275892620466
spool,4387,0.48182241888612903
whine,3759,0.4729463793474506
teach,22494,0.575734977245248
gross,55,0.2302326100726791
milk,15197,0.5532048195529462
reach,34162,0.5997425194501436
burn,55,0.2302326100726791
grey,12687,0.5428334246036276
pate,474,0.35397876275927087
groom,1694,0.42715300991476457
met,33946,0.5993781025918866
park,260269,0.716406328017935
gave,52248,0.6241535177462402
slight,13038,0.5444013307603566
bile,1618,0.4245158231439499
quick,37675,0.6053661644600776
clean,36259,0.6031651974186422
creak,218,0.3093544496868358
treat,260269,0.716406328017935
filth,1034,0.39879097382720063
knight,18288,0.563842041499713
beck,2085,0.4390845975702938
clinch,340,0.3348893893973157
gorge,834,0.38644110699102113
funk,2553,0.45071881078454074
tsar,553,0.3628351547088833
speed,91195,0.6561546524060835
cost,99511,0.6611684523746431
geese,642,0.3714088570645046
cross,29755,0.5918073231986323
form,55,0.2302326100726791
dip,5049,0.48989710206793347
heard,133759,0.678161359436175
full,155607,0.6868536227318726
tone,14825,0.5517809607422695
fake,7855,0.5152889562665212
thump,776,0.3822998567199508
brood,55,0.2302326100726791
wage,10057,0.5294866199840147
farm,10866,0.5339317299987211
snag,1433,0.41753986271580207
sake,11450,0.536939447516118
sect,1668,0.4262643702856546
reek,162,0.2922967792079904
curl,1238,0.409136067182756
build,47710,0.6189333200414708
axe,3072,0.46135101192467365
state,199234,0.701052882355717
breadth,1092,0.4019265249916431
place,260269,0.716406328017935
drive,171710,0.6925111982395036
cheese,8664,0.5209208405110024
damp,1714,0.4278273465818504
sole,7670,0.5139196453930733
dime,2559,0.450853676631605
wilt,1025,0.39828871184240927
mud,11447,0.5369243924019643
greet,923,0.3922665839369004
bilge,325,0.33229709294926396
fault,19970,0.5688970880329559
weed,3012,0.46021778338122565
slope,2690,0.453721988005356
worm,55,0.2302326100726791
goad,190,0.30145635299292095
hot,51548,0.6233785825492529
flat,260269,0.716406328017935
ranch,3655,0.47133443284093995
moor,55,0.2302326100726791
harsh,4912,0.4883166315709442
corn,4990,0.4892217846715035
than,702493,0.7734523706993328
brad,2,0.03982326329463344
burl,2,0.03982326329463344
chuck,12547,0.5421959134714197
nad,55,0.2302326100726791
send,324166,0.7290195221765513
groin,1299,0.41189940805157255
land,75077,0.6449808928733493
rent,10741,0.5332669747640087
rate,87419,0.6537251206488045
bin,15833,0.5555602893850544
cup,27794,0.5878903611212779
job,152137,0.6855579370292754
meek,1500,0.4201651671893243
brief,19497,0.5675199128147195
plot,17286,0.5606046793061935
perk,55,0.2302326100726791
lost,78092,0.6472430039174265
shot,42216,0.6119044424805419
gust,300,0.3276984133154182
hum,2852,0.45708178947675043
brooch,68,0.24242263552340965
tog,2,0.03982326329463344
slum,469,0.3533695012229148
dare,55,0.2302326100726791
reef,2983,0.45966193854198883
rough,10150,0.5300154615143213
lean,4549,0.4839057620843089
lack,41018,0.610250473256267
lodge,3578,0.47011114109086033
rank,9514,0.5262977290304116
flow,21065,0.5719640202307383
scan,14018,0.5485651694941545
bid,121987,0.6728685069768562
chair,18591,0.564786134210198
sex,65482,0.6371248535314745
cleft,387,0.3423283279895697
tell,260269,0.716406328017935
cite,6153,0.5012583730500837
bloat,55,0.2302326100726791
whirl,389,0.34262447722502987
thrush,239,0.31463829915004743
peak,8421,0.5192864269470352
still,363409,0.7355848397883158
skill,18473,0.5644203098959127
corpse,1987,0.4363186524651978
worse,34814,0.6008287047112597
flail,218,0.3093544496868358
hard,176372,0.6940502671084013
suit,18278,0.5638106173210228
scoop,2579,0.4513009566210648
coach,8819,0.521939592570047
strange,32166,0.5962836341365124
rone,260269,0.716406328017935
trance,2324,0.4453194346000508
feel,162050,0.6891845603309282
comb,1616,0.4244447621275102
bore,3600,0.47046331888302434
fist,6038,0.5001744142606264
slop,409,0.34550492125576604
launch,13021,0.5443263702358163
knot,2003,0.4367794294670869
leave,76508,0.6460656629261835
host,35398,0.6017844736191512
jack,2,0.03982326329463344
folk,11994,0.5396062234769932
zen,2,0.03982326329463344
mood,7398,0.5118452007431437
gouge,306,0.32883613018545466
zit,2,0.03982326329463344
blew,5339,0.49310573692533555
brought,39794,0.6085099486951611
week,260269,0.716406328017935
gauze,306,0.32883613018545466
golf,10450,0.5316889630656
switch,39076,0.6074638660885707
