word,freq,freq_scaled
adoring,2,0.03982326329463344
outskirt,2,0.03982326329463344
skidders,2,0.03982326329463344
amongst,7085,0.5093615254675603
pleasing,1678,0.42660778328938487
erasing,527,0.3600683730159808
closely,13971,0.548372216170487
blessing,6966,0.5083883492408816
outfits,2,0.03982326329463344
vampire,13322,0.545639360617687
almost,111603,0.6677571273748696
harping,348,0.33622556181689683
freshly,1228,0.4086701049816773
wisdom,12556,0.5422371097780252
thanking,1555,0.4222340685353215
gobbled,188,0.30084838092306104
silent,9259,0.5247368307853453
biggest,17944,0.5627510520150358
carpet,9281,0.5248731805945719
prison,13249,0.5453236730832812
starves,2,0.03982326329463344
spilling,702,0.376541985431103
safest,1754,0.42915273002803167
squealed,316,0.330683647075565
climate,6912,0.5079412432920853
squared,1082,0.40139797642058667
plumped,26,0.1871868484960853
football,17790,0.5622558491413361
shrouded,258,0.31903321230586384
exeter,2,0.03982326329463344
plunger,478,0.35446156244468086
sorcerer,2301,0.44474800720287305
poodles,2,0.03982326329463344
lasted,3718,0.47231628989631014
emerald,6224,0.5019175304035637
behind,64877,0.6365915691649877
alarms,1468,0.41892624426074637
devours,2,0.03982326329463344
scrapped,910,0.3914516365925765
whiskers,439,0.3495716767500867
instead,106320,0.6649709804077159
sinking,1863,0.4326165147190025
glittery,2,0.03982326329463344
permits,5211,0.49171155258333704
buffalo,8345,0.5187655579780724
plants,17051,0.5598182608913674
mumble,590,0.3665560601916214
mountain,34729,0.6006882594468455
grocers,114,0.27210797809735415
blonder,2,0.03982326329463344
splint,79,0.25103712048629817
morning,36264,0.6031731194329768
packaged,3226,0.46416126882691644
barrels,1880,0.43313839809160054
hopeless,1976,0.4359997109097336
majoring,2,0.03982326329463344
ostrich,431,0.3485150432996902
pounded,878,0.38939494004472014
spraying,1249,0.40964429813596887
molded,1018,0.39789500519035437
mounting,4680,0.4855368869159367
shanking,2,0.03982326329463344
clancy,2,0.03982326329463344
snuggle,280,0.32373457798039146
biplane,147,0.28671444742350943
busting,2,0.03982326329463344
squint,263,0.3201359875148159
wiggly,2,0.03982326329463344
mansion,1587,0.42340437658963026
shortish,2,0.03982326329463344
wanting,12944,0.5439856130278503
frisked,2,0.03982326329463344
prickle,19,0.16916633582438143
single,94813,0.6583899384027149
skimming,523,0.35963063509295534
charging,5144,0.4909680677049266
bachelor,2204,0.44227351866293896
itself,76299,0.6459085019610282
sensing,2054,0.4382239689823834
homework,3471,0.468366801627026
coloring,1561,0.42245532487219106
dakota,2,0.03982326329463344
jennifer,2,0.03982326329463344
tested,17027,0.5597373366578338
boarding,1556,0.4222710038142967
cuddled,2,0.03982326329463344
country,106713,0.6651829568210362
mojave,2,0.03982326329463344
